80 25
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
                                  []|[]                                         
                                  []|[]                                         
                                  []|[]                                         
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
                                  []|[]                                         
                                  []|[]                                         
                                  []|[]                                         
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    

