80 25
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
                          [][][][][]|[][][][][]                                 
                          [][][][][]|[][][][][]                                 
                                  []|[]                                         
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][][][][][][][][][][]       [][][]|[][][]       [][][][][][][][][][][][][]    
                                  []|[]                                         
                                  []|[]                                         
                                  []|[]                                         
 [][][][][]       [][][][][][][][][]|[][][][][][][][][][]       [][][][][][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
                                  []|[]                                         
                          [][][][][]|[][][][][]                                 
                          [][][][][]|[][][][][]                                 
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    

