80 25
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
                                  []|[]                                         
                                  []|[]                                         
                                  []|[]                                         
 [][]                             []|[]                                 [][]    
 [][]                         [][][]|[][][]                             [][]    
 [][]                         [][][]|[][][]                             [][]    
 [][]                         [][][]|[][][]                             [][]    
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    
 [][]                         [][][]|[][][]                             [][]    
 [][]                         [][][]|[][][]                             [][]    
 [][]                         [][][]|[][][]                             [][]    
 [][]                             []|[]                                 [][]    
                                  []|[]                                         
                                  []|[]                                         
                                  []|[]                                         
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    

