80 25
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
                                  []|[]                                         
                                  []|[]                                         
                                  []|[]                                         
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][][][][][][][][][][]       [][][]|[][][]       [][][][][][][][][][][][][]    
                                                                                
                                                                                
                                                                                
 [][][][][]       [][][][][][][][][]|[][][][][][][][][][]       [][][][][][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
                                  []|[]                                         
                                  []|[]                                         
                                  []|[]                                         
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    

