80 25
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
                          [][][][][]|[][][][][]                                 
                          [][][][][]|[][][][][]                                 
                                  []|[]                                         
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][][][][][][][][][][]       [][][]|[][][]       [][][][][][][][][][][][][]    
                                                                                
                                                                                
                                                                                
 [][][][][]       [][][][][][][][][]|[][][][][][][][][][]       [][][][][][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
                                  []|[]                                         
                          [][][][][]|[][][][][]                                 
                          [][][][][]|[][][][][]                                 
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][]                             []|[]                                 [][]    
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    
 [][][][][][][]       [][][][][][][]|[][][][][][][][]       [][][][][][][][]    

