80 25
 [][][][][][][][][][][][][][][][][][|][][][][][][][][][][][][][][][][][][][]    
 [][][][][][][][][][][][][][][][][][|][][][][][][][][][][][][][][][][][][][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][]                                                                   [][]    
 [][][][][][][][][][][][][][][][][][|][][][][][][][][][][][][][][][][][][][]    
 [][][][][][][][][][][][][][][][][][|][][][][][][][][][][][][][][][][][][][]    

